Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
28.809		72.4		-0.002		135.7				-210.4								
28.906		69.7		-0.008		139.2				-210.4								
29.004		64.0		-0.004		142.7				-209.9								
29.102		54.8		-0.002		147.5				-211.7								
29.199		50.4		0.000		154.5				-207.3								
29.297		40.8		-0.013		155.8				-206.0								
29.395		36.0		-0.004		161.1				-203.0								
29.492		28.9		-0.006		163.2				-199.6								
29.590		22.8		0.002		170.2				-194.8								
29.688		14.0		0.002		172.0				-193.5								
29.785		9.6		-0.002		179.0				-187.9								
29.883		2.2		-0.013		178.1				-181.0								
29.980		-7.0		-0.006		182.9				-179.7								
30.078		-14.5		-0.011		189.5				-171.1								
30.176		-21.9		-0.013		188.2				-165.0								
30.273		-29.8		-0.013		193.4				-163.7								
30.371		-35.5		-0.008		195.2				-159.0								
30.469		-42.1		0.000		198.2				-154.2								
30.566		-47.8		0.002		203.1				-151.6								
30.664		-55.7		-0.011		201.8				-148.6								
30.762		-61.4		-0.013		202.6				-143.4								
30.859		-68.4		0.002		207.0				-138.7								
30.957		-75.9		-0.008		208.3				-132.6								
31.055		-82.5		-0.008		208.3				-130.9								
31.152		-89.5		-0.008		208.8				-125.3								
31.250		-96.1		-0.021		211.4				-122.7								
31.348		-98.7		0.002		211.8				-115.8								
31.445		-104.8		-0.017		210.9				-109.7								
31.543		-107.0		0.002		211.8				-105.0								
31.641		-108.8		-0.008		212.3				-109.3								
31.738		-116.2		-0.011		214.4				-116.6								
31.836		-123.2		-0.013		212.7				-121.8								
31.934		-125.9		-0.002		216.2				-124.4								
32.031		-129.4		-0.008		211.8				-129.2								
32.129		-136.8		-0.013		212.7				-132.6								
32.227		-138.2		-0.015		211.4				-136.9								
32.324		-142.5		0.000		212.3				-140.8								
32.422		-147.4		0.002		214.0				-145.1								
32.520		-150.9		-0.015		211.8				-149.0								
32.617		-157.5		-0.015		207.9				-155.9								
32.715		-161.0		-0.013		205.3				-159.0								
32.813		-166.2		-0.006		199.1				-165.0								
32.910		-166.7		-0.004		194.7				-165.4								
33.008		-170.2		-0.011		191.7				-171.5								
33.105		-178.9		-0.017		188.2				-175.8								
33.203		-178.5		-0.015		180.7				-178.4								
33.301		-182.0		-0.013		179.4				-182.3								
33.398		-186.4		-0.008		172.0				-181.4								
33.496		-185.5		-0.011		168.9				-185.7								
33.594		-193.0		0.000		165.4				-191.4								
33.691		-194.3		-0.011		159.7				-190.9								
33.789		-194.7		-0.021		156.2				-196.1								
33.887		-198.7		0.002		156.2				-197.4								
33.984		-200.0		-0.013		146.6				-200.4								
34.082		-201.8		-0.015		142.2				-202.2								
34.180		-201.8		-0.011		139.2				-205.6								
34.277		-204.4		-0.011		133.5				-203.9								
34.375		-206.6		-0.019		130.4				-204.8								
34.473		-206.1		0.000		126.0				-209.5								
34.570		-208.3		0.004		120.8				-206.9								
34.668		-206.6		-0.006		118.2				-208.6								
34.766		-209.6		-0.015		109.8				-206.0								
34.863		-208.8		-0.019		106.8				-207.8								
34.961		-209.2		-0.006		112.5				-209.1								
35.059		-208.3		-0.013		113.8				-210.4								
35.156		-210.1		-0.019		118.2				-210.8								
35.254		-211.0		-0.008		120.8				-208.2								
35.352		-210.1		0.004		126.9				-208.6								
35.449		-207.9		-0.002		132.6				-209.1								
35.547		-210.1		-0.017		133.9				-209.9								
35.645		-214.0		-0.011		137.0				-207.8								
35.742		-208.3		-0.013		144.9				-208.2								
35.840		-210.1		-0.006		147.0				-206.5								
35.938		-209.2		-0.013		152.7				-206.0								
36.035		-205.3		-0.006		154.9				-205.2								
36.133		-202.2		-0.013		162.4				-200.4								
36.230		-194.7		-0.006		164.1				-193.1								
36.328		-192.1		-0.002		171.1				-187.9								
36.426		-187.7		-0.006		172.9				-186.2								
36.523		-182.9		-0.017		175.5				-180.6								
36.621		-178.1		-0.008		179.0				-174.9								
36.719		-177.6		0.002		183.4				-173.2								
36.816		-171.5		-0.006		183.8				-166.7								
36.914		-167.5		0.002		189.1				-163.3								
37.012		-162.7		-0.017		193.9				-162.4								
37.109		-158.8		-0.013		193.9				-159.0								
37.207		-153.5		-0.008		195.2				-154.2								
37.305		-149.6		-0.008		199.1				-148.6								
37.402		-143.4		-0.023		200.9				-145.1								
37.500		-141.7		-0.004		201.8				-138.7								
37.598		-136.4		-0.015		203.9				-134.3								
37.695		-133.3		-0.015		205.7				-130.0								
37.793		-130.7		-0.008		205.3				-123.1								
37.891		-122.8		-0.004		205.7				-122.2								
37.988		-118.0		0.000		205.7				-116.6								
38.086		-113.2		-0.013		205.3				-111.9								
38.184		-109.6		0.000		206.1				-107.6								
38.281		-104.8		-0.008		205.7				-110.2								
38.379		-99.1		0.002		207.4				-114.9								
38.477		-93.0		-0.015		208.8				-121.4								
38.574		-90.4		-0.011		207.4				-125.7								
38.672		-82.0		-0.008		207.9				-130.9								
38.770		-77.6		-0.021		209.2				-134.8								
38.867		-73.7		-0.013		208.3				-138.2								
38.965		-66.7		0.008		209.6				-142.5								
39.063		-61.4		-0.008		206.6				-145.6								
39.160		-54.4		-0.015		205.7				-153.8								
39.258		-45.2		-0.013		203.1				-155.9								
39.355		-40.8		-0.013		202.2				-160.3								
39.453		-32.9		-0.006		201.3				-163.7								
39.551		-23.7		-0.011		197.4				-167.6								
39.648		-20.2		-0.006		192.6				-172.8								
39.746		-12.7		-0.023		188.2				-177.5								
39.844		-6.1		-0.008		181.6				-180.1								
39.941		2.2		-0.021		175.1				-184.0								
40.039		8.3		-0.013		172.9				-186.6								
40.137		15.8		-0.006		168.1				-190.5								
40.234		22.8		0.002		165.9				-195.2								
40.332		29.8		-0.011		162.4				-195.7								
40.430		37.3		-0.006		156.7				-198.3								
40.527		42.1		-0.008		151.9				-202.6								
40.625		50.4		0.000		148.8				-204.8								
40.723		57.0		0.000		145.3				-204.8								
40.820		64.5		0.011		140.5				-205.6								
40.918		73.2		-0.004		134.4				-208.6								
41.016		75.9		0.004		130.4				-209.9								
41.113		84.6		-0.008		128.7				-211.2								
41.211		89.5		0.002		120.8				-210.4								
41.309		96.9		-0.015		117.7				-210.8								
41.406		101.3		0.000		111.2				-215.6								
41.504		105.3		-0.017		107.7				-212.5								
41.602		106.6		-0.006		107.2				-213.0								
41.699		114.5		-0.004		113.8				-210.8								
41.797		118.4		-0.006		117.7				-213.4								
41.895		123.7		-0.004		123.0				-215.6								
41.992		125.4		0.000		126.9				-214.3								
42.090		132.9		-0.002		133.9				-212.5								
42.188		133.8		-0.011		133.5				-213.0								
42.285		140.4		-0.008		139.2				-212.5								
42.383		144.7		-0.008		142.7				-214.7								
42.480		147.4		-0.002		146.2				-213.0								
42.578		150.9		0.000		149.2				-211.7								
42.676		153.9		-0.004		158.0				-206.5								
42.773		161.4		-0.006		158.9				-204.3								
42.871		164.9		-0.002		163.7				-200.9								
42.969		168.9		-0.015		171.1				-194.0								
43.066		169.3		-0.008		171.1				-188.8								
43.164		176.8		-0.013		175.9				-186.2								
43.262		180.7		-0.002		179.4				-181.4								
43.359		183.3		-0.004		182.9				-175.4								
43.457		184.6		0.002		184.7				-173.2								
43.555		190.4		-0.011		187.7				-168.5								
43.652		193.0		-0.008		189.9				-165.0								
43.750		194.7		0.000		196.9				-159.8								
43.848		195.2		0.000		198.7				-156.4								
43.945		196.1		0.002		198.7				-154.2								
44.043		199.6		-0.013		200.4				-146.4								
44.141		200.0		-0.008		201.8				-142.1								
44.238		202.6		-0.008		201.8				-137.4								
44.336		204.4		0.000		207.4				-131.3								
44.434		204.4		-0.004		203.5				-128.7								
44.531		205.7		-0.015		203.1				-125.7								
44.629		206.6		-0.008		204.4				-118.4								
44.727		210.1		-0.013		203.5				-115.8								
44.824		208.3		-0.004		206.6				-109.3								
44.922		207.5		0.002		209.2				-107.1								
45.020		207.5		0.002		208.8				-112.3								
45.117		210.1		-0.013		207.0				-115.8								
45.215		205.7		-0.006		206.6				-119.2								
45.313		211.0		-0.017		206.6				-124.0								
45.410		208.3		-0.008		207.0				-129.2								
45.508		207.0		-0.015		206.6				-135.2								
45.605		208.8		-0.013		206.6				-136.9								
45.703		206.1		-0.011		204.8				-142.5								
45.801		207.0		-0.013		207.9				-146.9								
45.898		207.0		-0.011		207.0				-150.8								
45.996		203.5		0.004		206.6				-158.1								
46.094		203.9		-0.004		200.4				-157.7								
46.191		197.4		-0.006		192.6				-163.3								
46.289		194.3		-0.004		190.4				-169.8								
46.387		189.0		-0.019		186.4				-172.8								
46.484		182.0		0.000		183.8				-177.1								
46.582		178.1		-0.004		177.7				-181.0								
46.680		175.9		-0.006		175.9				-182.3								
46.777		169.7		0.008		171.1				-188.8								
46.875		166.2		0.000		165.9				-190.9								
46.973		162.3		-0.011		160.6				-192.7								
47.070		160.1		-0.008		160.6				-193.1								
47.168		155.3		-0.006		154.0				-196.5								
47.266		149.1		-0.011		148.8				-201.3								
47.363		143.9		0.000		147.0				-200.0								
47.461		139.9		-0.002		140.5				-201.7								
47.559		135.5		-0.019		136.5				-203.0								
47.656		132.0		0.000		131.3				-206.5								
47.754		128.5		-0.004		126.0				-204.8								
47.852		124.6		-0.004		119.9				-206.0								
47.949		116.7		-0.004		118.2				-206.9								
48.047		112.7		-0.008		114.2				-206.5								
48.145		109.6		-0.013		107.7				-206.9								
48.242		107.0		-0.006		105.0				-208.6								
48.340		101.3		0.000		113.8				-209.1								
48.438		97.4		-0.013		119.5				-209.1								
48.535		92.5		-0.008		123.4				-208.6								
48.633		85.1		0.004		130.0				-210.4								
48.730		80.7		-0.002		132.2				-210.8								
48.828		71.9		-0.002		135.7				-210.4								
48.926		67.5		-0.004		135.2				-209.5								
49.023		61.4		-0.006		145.3				-208.6								
49.121		56.1		-0.006		148.4				-205.2								
49.219		50.0		-0.004		151.4				-207.3								
49.316		40.4		0.000		156.2				-206.9								
49.414		34.2		0.002		161.1				-203.9								
49.512		27.6		-0.008		164.1				-199.1								
49.609		21.1		-0.004		168.9				-194.4								
49.707		12.3		0.008		174.6				-189.2								
49.805		7.5		-0.004		176.8				-185.7								
49.902		1.3		-0.002		182.1				-182.3								
