Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
12.988		-168.1		-0.008		191.4		0.283		-22.8		0.002		192.6		0.284		
13.086		-171.2		0.002		184.8		0.287		-14.9		-0.006		187.4		0.282		
13.184		-178.7		-0.023		182.6		0.268		-9.2		-0.004		181.3		0.276		
13.281		-176.9		0.002		177.8		0.274		-3.5		-0.002		177.0		0.267		
13.379		-181.7		-0.002		175.2		0.241		7.0		0.000		170.4		0.265		
13.477		-187.5		0.002		170.8		0.251		18.4		-0.013		171.3		0.256		
13.574		-191.0		-0.002		166.0		0.247		24.5		0.004		163.9		0.250		
13.672		-192.3		-0.008		159.8		0.239		32.4		-0.006		163.0		0.241		
13.770		-195.8		-0.002		157.6		0.236		40.3		0.002		157.4		0.235		
13.867		-194.9		-0.013		155.0		0.236		46.0		0.000		154.8		0.226		
13.965		-197.1		-0.002		148.0		0.211		52.6		-0.011		146.5		0.218		
14.063		-203.3		-0.008		144.5		0.209		58.3		0.011		145.2		0.212		
14.160		-205.9		0.002		138.4		0.198		63.5		0.000		137.0		0.218		
14.258		-205.5		-0.008		132.7		0.196		71.0		0.004		133.0		0.201		
14.355		-208.6		0.002		129.2		0.188		78.9		0.008		132.2		0.197		
14.453		-209.9		-0.004		127.0		0.177		86.3		0.006		129.6		0.190		
14.551		-212.5		0.002		120.0		0.182		93.3		-0.006		120.0		0.177		
14.648		-210.3		0.002		118.7		0.173		95.9		-0.011		119.6		0.175		
14.746		-210.8		-0.004		116.9		0.175		102.5		0.000		112.6		0.169		
14.844		-212.5		-0.019		105.1		0.150		108.2		-0.008		107.0		0.171		
14.941		-212.1		0.002		106.0		0.042		108.2		0.129		107.0		0.169		
15.039		-214.7		-0.011		99.0		-0.015		110.8		0.173		113.0		0.169		
15.137		-211.7		-0.002		93.7		-0.004		117.4		0.177		120.0		0.175		
15.234		-214.3		-0.008		89.3		0.004		124.9		0.177		121.7		0.186		
15.332		-211.7		-0.015		80.6		0.013		127.5		0.199		126.5		0.197		
15.430		-211.2		0.000		77.9		0.006		131.9		0.192		130.4		0.199		
15.527		-212.1		-0.004		71.4		0.004		133.6		0.199		135.2		0.194		
15.625		-213.4		0.000		68.3		0.011		135.4		0.194		139.6		0.218		
15.723		-212.1		0.000		61.3		-0.008		139.8		0.213		145.2		0.220		
15.820		-210.3		-0.017		53.0		0.004		149.8		0.222		147.0		0.214		
15.918		-209.5		-0.002		46.0		0.004		152.0		0.226		153.5		0.237		
16.016		-205.5		0.006		38.1		0.000		153.8		0.232		156.1		0.231		
16.113		-202.0		-0.002		33.3		-0.002		160.4		0.237		158.3		0.235		
16.211		-199.8		-0.002		25.4		-0.002		162.5		0.243		163.9		0.235		
16.309		-193.2		-0.006		19.3		0.015		172.2		0.245		167.4		0.259		
16.406		-188.8		-0.002		14.0		-0.006		170.9		0.256		171.3		0.244		
16.504		-183.1		-0.006		6.6		0.006		179.6		0.249		179.1		0.263		
16.602		-180.4		-0.002		0.0		0.006		180.9		0.262		180.0		0.267		
16.699		-176.9		-0.002		-10.1		-0.006		185.8		0.277		185.7		0.276		
16.797		-173.4		-0.015		-19.7		-0.011		186.6		0.279		190.0		0.284		
16.895		-168.5		-0.002		-24.5		-0.008		190.1		0.285		193.0		0.295		
16.992		-162.8		-0.011		-32.4		-0.002		191.9		0.279		191.3		0.271		
17.090		-161.1		-0.011		-40.3		-0.019		194.1		0.289		193.9		0.293		
17.188		-152.7		-0.013		-48.2		0.000		199.8		0.300		198.3		0.293		
17.285		-149.2		-0.008		-54.7		-0.008		199.8		0.300		200.9		0.303		
17.383		-143.9		-0.002		-59.1		-0.011		202.8		0.304		201.3		0.310		
17.480		-138.2		-0.004		-64.8		0.006		209.0		0.310		207.8		0.310		
17.578		-139.5		-0.004		-73.6		-0.008		204.2		0.310		207.8		0.303		
17.676		-132.0		-0.004		-79.7		-0.006		207.2		0.313		210.4		0.312		
17.773		-128.5		0.011		-84.1		0.006		210.7		0.317		210.4		0.310		
17.871		-124.5		0.000		-92.0		0.004		211.2		0.317		211.7		0.314		
17.969		-116.6		-0.006		-99.8		-0.004		211.6		0.317		210.0		0.310		
18.066		-114.0		-0.006		-105.1		0.006		214.2		0.300		212.6		0.316		
18.164		-108.7		-0.008		-108.2		0.002		210.3		0.310		210.9		0.306		
18.262		-106.1		-0.002		-112.1		-0.004		211.6		0.302		215.2		0.321		
18.359		-99.9		-0.011		-117.4		-0.013		211.6		0.319		213.0		0.312		
18.457		-93.7		-0.002		-119.1		-0.002		218.6		0.310		213.5		0.321		
18.555		-91.1		-0.011		-124.8		-0.008		213.4		0.315		214.3		0.308		
18.652		-83.6		-0.015		-130.0		-0.008		209.9		0.319		214.8		0.331		
18.750		-80.5		-0.015		-136.6		0.006		212.5		0.313		211.7		0.316		
18.848		-75.7		0.000		-137.9		-0.008		214.7		0.315		214.3		0.314		
18.945		-70.8		-0.017		-141.4		0.002		214.2		0.315		212.2		0.329		
19.043		-64.7		-0.013		-145.8		-0.004		214.7		0.319		212.2		0.316		
19.141		-60.7		0.004		-147.6		0.006		213.8		0.313		209.6		0.325		
19.238		-51.9		-0.006		-149.3		-0.008		206.8		0.315		209.6		0.321		
19.336		-44.4		-0.011		-153.7		-0.004		210.3		0.315		209.6		0.316		
19.434		-37.4		-0.004		-158.5		-0.013		202.0		0.306		206.5		0.310		
19.531		-27.7		-0.006		-162.9		0.002		202.4		0.294		202.6		0.303		
19.629		-21.1		-0.015		-170.3		-0.002		195.4		0.302		200.9		0.288		
19.727		-15.0		-0.011		-174.7		-0.002		192.8		0.287		193.5		0.276		
19.824		-10.1		-0.002		-174.3		0.004		184.9		0.275		188.3		0.284		
19.922		-0.9		0.002		-177.8		-0.004		183.6		0.268		181.3		0.263		
20.020		5.7		0.000		-180.0		-0.006		173.1		0.264		177.4		0.254		
20.117		15.4		-0.008		-187.4		0.000		173.9		0.258		172.2		0.241		
20.215		23.3		-0.006		-188.3		-0.015		165.2		0.239		167.0		0.231		
20.313		30.4		-0.019		-194.9		-0.004		163.4		0.234		161.3		0.229		
20.410		35.6		0.004		-197.9		0.006		160.4		0.222		159.1		0.239		
20.508		43.6		-0.011		-200.1		0.006		155.1		0.224		157.8		0.231		
20.605		50.2		0.002		-203.6		-0.011		149.4		0.224		152.6		0.229		
20.703		59.4		-0.004		-204.1		-0.002		145.0		0.222		145.2		0.212		
20.801		63.8		-0.002		-204.9		-0.013		139.8		0.207		140.9		0.216		
20.898		75.7		0.015		-209.7		-0.002		137.6		0.205		137.0		0.205		
20.996		78.3		-0.011		-210.2		-0.011		132.3		0.194		133.0		0.186		
21.094		87.1		-0.004		-211.1		0.002		130.1		0.192		127.8		0.188		
21.191		92.8		-0.015		-214.6		0.000		123.5		0.184		125.2		0.186		
21.289		96.4		-0.004		-212.8		0.000		119.2		0.177		117.8		0.186		
21.387		102.1		-0.006		-215.4		0.011		113.0		0.175		113.0		0.162		
21.484		106.9		-0.002		-215.4		0.002		109.1		0.156		110.9		0.169		
21.582		106.5		0.067		-213.7		0.000		106.9		0.068		107.8		0.158		
21.680		112.7		0.183		-213.7		-0.011		100.8		-0.006		114.8		0.167		
21.777		117.9		0.175		-214.1		0.011		98.1		0.004		117.0		0.194		
21.875		121.9		0.186		-217.2		0.000		91.6		-0.004		126.1		0.188		
21.973		128.9		0.194		-214.1		0.000		87.2		0.015		127.8		0.177		
22.070		129.8		0.194		-215.9		-0.006		81.1		-0.011		130.9		0.188		
22.168		134.2		0.194		-214.1		-0.006		77.1		0.004		134.8		0.197		
22.266		137.7		0.213		-215.9		0.006		73.6		0.011		139.6		0.203		
22.363		143.0		0.213		-211.9		-0.015		65.7		-0.002		140.4		0.216		
22.461		147.4		0.213		-212.4		0.000		59.1		-0.004		144.8		0.205		
22.559		148.7		0.224		-210.6		-0.008		51.7		0.006		150.9		0.220		
22.656		153.6		0.228		-205.8		-0.008		43.4		-0.006		151.7		0.224		
22.754		157.5		0.245		-204.9		0.000		38.1		-0.013		158.7		0.235		
22.852		160.6		0.234		-198.4		-0.008		30.2		0.000		161.3		0.250		
22.949		167.2		0.245		-194.9		-0.011		22.8		-0.002		167.4		0.252		
23.047		171.6		0.249		-189.2		-0.002		16.2		0.006		168.7		0.250		
23.145		173.4		0.264		-184.8		-0.017		7.4		-0.015		173.9		0.256		
23.242		178.2		0.261		-183.9		-0.015		2.2		0.004		182.2		0.274		
23.340		180.0		0.272		-176.0		-0.002		-5.3		-0.006		179.1		0.276		
23.438		185.7		0.272		-172.1		-0.006		-15.8		0.006		186.1		0.274		
23.535		188.3		0.268		-169.9		-0.006		-21.0		0.006		188.3		0.288		
23.633		190.5		0.274		-163.3		-0.011		-31.1		-0.006		190.0		0.278		
23.730		194.5		0.272		-158.1		0.004		-39.4		0.000		196.1		0.288		
23.828		195.4		0.289		-155.4		0.004		-46.9		-0.002		196.1		0.301		
23.926		199.3		0.297		-149.8		-0.004		-51.7		-0.002		200.0		0.301		
24.023		201.5		0.295		-143.6		-0.011		-57.8		0.002		206.1		0.291		
24.121		202.9		0.289		-141.9		-0.011		-66.6		-0.011		203.0		0.318		
24.219		203.7		0.314		-135.7		-0.013		-71.4		0.008		208.7		0.306		
24.316		205.9		0.306		-132.2		-0.004		-78.4		-0.015		207.8		0.299		
24.414		210.3		0.316		-131.8		-0.004		-84.1		0.011		210.4		0.303		
24.512		210.8		0.299		-124.4		-0.008		-91.6		-0.017		207.8		0.306		
24.609		207.7		0.312		-121.3		-0.015		-97.3		-0.006		211.7		0.310		
