Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
17.871		-122.3		0.000		-96.3		0.000		212.9		0.313		211.3		0.314		
17.969		-116.6		-0.013		-103.3		-0.006		213.8		0.310		214.8		0.312		
18.066		-112.2		-0.008		-107.7		-0.008		212.9		0.315		211.3		0.316		
18.164		-108.7		0.000		-111.2		0.002		212.0		0.310		213.0		0.321		
18.262		-105.6		-0.004		-113.8		-0.002		213.4		0.310		212.2		0.316		
18.359		-99.4		0.002		-118.2		0.002		210.3		0.310		211.7		0.323		
18.457		-95.5		-0.008		-127.9		-0.002		215.1		0.315		212.2		0.316		
18.555		-87.6		-0.006		-128.7		-0.002		213.8		0.327		212.6		0.323		
18.652		-81.4		0.006		-131.8		-0.011		212.0		0.313		217.0		0.308		
18.750		-76.1		-0.019		-138.4		0.004		215.1		0.317		213.9		0.303		
18.848		-71.7		0.000		-140.6		-0.006		211.6		0.315		213.0		0.318		
18.945		-67.3		-0.002		-141.9		0.002		212.5		0.310		214.8		0.308		
19.043		-60.3		0.002		-145.4		0.004		209.9		0.315		213.5		0.314		
19.141		-54.6		-0.006		-150.6		-0.002		213.8		0.306		210.9		0.316		
19.238		-44.0		-0.002		-157.6		-0.011		206.8		0.313		208.7		0.306		
19.336		-38.3		-0.002		-158.9		-0.013		204.6		0.306		207.4		0.306		
19.434		-29.5		-0.004		-163.8		-0.008		205.5		0.308		205.2		0.306		
19.531		-24.2		0.008		-168.6		0.004		202.4		0.306		199.6		0.312		
19.629		-16.3		0.000		-170.8		-0.004		195.8		0.298		196.5		0.291		
19.727		-13.2		-0.004		-177.3		0.000		191.5		0.281		191.3		0.280		
19.824		-4.0		-0.004		-182.2		-0.013		184.0		0.281		185.2		0.276		
19.922		2.2		-0.008		-186.5		-0.008		180.1		0.270		180.0		0.259		
20.020		11.4		0.002		-191.4		0.008		174.8		0.256		174.8		0.261		
20.117		17.6		-0.006		-192.2		-0.002		174.4		0.256		170.4		0.259		
20.215		28.2		-0.013		-195.7		-0.008		163.0		0.253		167.4		0.248		
20.313		35.2		0.006		-195.3		-0.006		161.2		0.230		163.0		0.246		
20.410		41.8		0.011		-201.0		-0.011		156.8		0.232		157.8		0.229		
20.508		50.6		-0.002		-201.4		0.008		156.4		0.226		153.9		0.214		
20.605		56.3		-0.004		-203.6		-0.004		150.7		0.222		147.8		0.212		
20.703		62.5		0.006		-207.1		-0.006		146.8		0.213		143.5		0.209		
20.801		67.3		0.002		-209.3		0.006		137.6		0.192		138.3		0.216		
20.898		75.7		0.004		-211.1		-0.004		133.6		0.209		133.5		0.205		
20.996		82.7		0.011		-209.3		-0.002		130.6		0.192		129.6		0.190		
21.094		92.8		-0.008		-215.4		-0.002		126.2		0.190		126.1		0.188		
21.191		94.6		0.002		-212.8		-0.006		122.7		0.184		120.9		0.184		
21.289		100.3		0.000		-212.4		-0.006		114.8		0.163		116.1		0.175		
21.387		102.5		0.002		-213.2		-0.011		109.5		0.163		110.4		0.162		
21.484		109.1		0.013		-213.7		-0.011		106.9		0.133		108.3		0.169		
21.582		114.9		0.158		-212.4		-0.006		105.1		-0.008		113.5		0.156		
21.680		118.4		0.177		-216.3		-0.004		100.3		-0.004		118.7		0.173		
21.777		121.9		0.167		-215.9		-0.008		94.6		-0.011		121.7		0.188		
21.875		128.1		0.186		-217.2		-0.015		88.5		-0.006		126.1		0.190		
21.973		129.4		0.198		-214.6		-0.002		85.0		-0.006		130.9		0.192		
22.070		137.3		0.202		-216.7		-0.008		78.0		0.000		135.7		0.192		
22.168		137.7		0.207		-214.1		0.002		71.9		-0.004		138.3		0.205		
22.266		142.1		0.205		-217.2		0.000		67.5		-0.011		140.4		0.197		
22.363		143.9		0.200		-213.7		-0.006		61.8		0.000		147.0		0.203		
22.461		151.4		0.213		-214.1		0.011		53.5		0.004		149.1		0.216		
22.559		155.8		0.221		-213.2		0.013		46.9		-0.004		154.8		0.233		
22.656		159.7		0.236		-208.9		-0.006		38.1		-0.006		158.3		0.229		
22.754		165.0		0.240		-204.5		0.004		33.3		0.000		163.0		0.241		
22.852		169.0		0.240		-198.4		-0.008		24.1		0.000		168.7		0.237		
22.949		169.0		0.253		-194.9		0.006		20.2		0.000		171.3		0.250		
23.047		174.7		0.261		-187.0		-0.013		10.5		-0.006		177.8		0.265		
23.145		181.3		0.272		-184.3		0.004		7.9		-0.004		180.9		0.276		
23.242		184.4		0.268		-181.7		0.000		-4.4		-0.006		181.7		0.265		
23.340		185.3		0.270		-174.3		-0.011		-12.3		-0.006		186.1		0.274		
23.438		189.2		0.285		-174.7		0.002		-19.7		0.004		189.1		0.282		
23.535		194.9		0.287		-167.3		-0.002		-27.2		-0.004		193.0		0.293		
23.633		194.5		0.287		-163.3		-0.006		-35.0		-0.004		194.3		0.282		
23.730		200.7		0.295		-159.4		-0.002		-42.9		0.002		198.3		0.288		
23.828		203.3		0.310		-155.4		-0.006		-50.4		0.002		198.3		0.295		
23.926		201.5		0.306		-150.2		-0.006		-59.1		0.000		201.3		0.299		
24.023		202.0		0.304		-142.7		0.004		-61.3		-0.008		203.5		0.308		
24.121		209.0		0.306		-137.9		-0.002		-69.7		-0.008		207.8		0.312		
24.219		205.5		0.312		-133.1		-0.008		-74.5		0.008		210.0		0.301		
24.316		209.9		0.308		-131.8		-0.002		-79.7		-0.002		208.7		0.316		
24.414		211.2		0.314		-126.5		0.006		-87.2		0.004		210.0		0.310		
24.512		211.7		0.308		-124.4		0.008		-94.6		-0.006		211.3		0.303		
24.609		211.2		0.312		-120.4		-0.011		-97.7		0.000		213.0		0.303		
24.707		212.5		0.312		-112.1		0.006		-107.3		-0.011		208.7		0.318		
